Czas,Temperatura procesora,Zużycie procesora
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,66,100
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,66,100
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,67,100
 08-06-2024 17:04:41,66,100
 08-06-2024 17:04:42,66,100
 08-06-2024 17:04:42,67,100
 08-06-2024 17:04:42,67,100
 08-06-2024 17:04:42,67,100
 08-06-2024 17:04:42,66,100
 08-06-2024 17:04:42,66,100
 08-06-2024 17:04:42,67,100
 08-06-2024 17:04:42,67,100
 08-06-2024 17:04:42,66,100
 08-06-2024 17:04:42,67,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:43,66,100
 08-06-2024 17:04:43,66,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:43,66,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:43,67,100
 08-06-2024 17:04:44,66,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,66,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,67,100
 08-06-2024 17:04:44,68,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,68,100
 08-06-2024 17:04:45,68,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,67,100
 08-06-2024 17:04:45,66,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,66,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,66,100
 08-06-2024 17:04:46,67,100
 08-06-2024 17:04:46,67,100
