Czas,Temperatura procesora
 08-06-2024 13:02:55,41
 08-06-2024 13:02:56,41
 08-06-2024 13:02:57,41
 08-06-2024 13:02:58,41
 08-06-2024 13:02:59,41
 08-06-2024 13:03:00,47
 08-06-2024 13:03:01,41
 08-06-2024 13:03:02,41
 08-06-2024 13:03:03,40
 08-06-2024 13:03:04,41
 08-06-2024 13:03:05,40
 08-06-2024 13:03:06,41
 08-06-2024 13:03:07,41
 08-06-2024 13:03:08,40
 08-06-2024 13:03:09,41
 08-06-2024 13:03:10,42
 08-06-2024 13:03:11,41
 08-06-2024 13:03:12,41
 08-06-2024 13:03:13,41
 08-06-2024 13:03:14,43
 08-06-2024 13:03:15,45
 08-06-2024 13:03:16,42
 08-06-2024 13:03:17,49
 08-06-2024 13:03:18,44
 08-06-2024 13:03:19,42
 08-06-2024 13:03:20,42
 08-06-2024 13:03:21,43
 08-06-2024 13:03:22,47
 08-06-2024 13:03:23,44
 08-06-2024 13:03:24,46
 08-06-2024 13:03:25,46
 08-06-2024 13:03:26,43
 08-06-2024 13:03:27,41
 08-06-2024 13:03:28,44
 08-06-2024 13:03:29,46
 08-06-2024 13:03:30,41
 08-06-2024 13:03:31,47
 08-06-2024 13:03:32,41
 08-06-2024 13:03:33,50
 08-06-2024 13:03:34,43
 08-06-2024 13:03:35,43
 08-06-2024 13:03:36,52
 08-06-2024 13:03:37,42
 08-06-2024 13:03:38,44
 08-06-2024 13:03:39,44
 08-06-2024 13:03:40,41
 08-06-2024 13:03:41,40
 08-06-2024 13:03:42,43
 08-06-2024 13:03:43,51
 08-06-2024 13:03:44,41
 08-06-2024 13:03:45,41
 08-06-2024 13:03:46,41
 08-06-2024 13:03:47,40
 08-06-2024 13:03:48,42
 08-06-2024 13:03:49,41
 08-06-2024 13:03:50,41
 08-06-2024 13:03:51,40
 08-06-2024 13:03:52,41
 08-06-2024 13:03:53,43
 08-06-2024 13:03:54,41
 08-06-2024 13:03:55,41
 08-06-2024 13:03:56,41
 08-06-2024 13:03:57,41
 08-06-2024 13:03:58,41
 08-06-2024 13:03:59,40
 08-06-2024 13:04:00,41
 08-06-2024 13:04:01,41
 08-06-2024 13:04:02,41
 08-06-2024 13:04:03,43
 08-06-2024 13:04:04,41
 08-06-2024 13:04:05,44
 08-06-2024 13:04:06,43
 08-06-2024 13:04:07,42
 08-06-2024 13:04:08,41
 08-06-2024 13:04:09,41
 08-06-2024 13:04:10,41
 08-06-2024 13:04:11,42
 08-06-2024 13:04:12,41
 08-06-2024 13:04:13,41
 08-06-2024 13:04:14,41
 08-06-2024 13:04:15,41
 08-06-2024 13:04:16,41
 08-06-2024 13:04:17,41
 08-06-2024 13:04:18,41
 08-06-2024 13:04:19,41
 08-06-2024 13:04:20,42
 08-06-2024 13:04:21,41
 08-06-2024 13:04:22,41
 08-06-2024 13:04:23,41
 08-06-2024 13:04:24,40
 08-06-2024 13:04:25,41
 08-06-2024 13:04:26,41
 08-06-2024 13:04:27,41
 08-06-2024 13:04:28,41
 08-06-2024 13:04:29,44
 08-06-2024 13:04:30,41
 08-06-2024 13:04:31,41
 08-06-2024 13:04:32,41
 08-06-2024 13:04:33,41
 08-06-2024 13:04:34,41
 08-06-2024 13:04:35,49
 08-06-2024 13:04:36,41
 08-06-2024 13:04:37,41
 08-06-2024 13:04:38,42
 08-06-2024 13:04:39,41
 08-06-2024 13:04:40,41
 08-06-2024 13:04:41,41
 08-06-2024 13:04:42,41
 08-06-2024 13:04:43,41
 08-06-2024 13:04:44,43
 08-06-2024 13:04:45,41
 08-06-2024 13:04:46,41
 08-06-2024 13:04:47,41
 08-06-2024 13:04:48,40
 08-06-2024 13:04:49,43
 08-06-2024 13:04:50,41
 08-06-2024 13:04:51,42
 08-06-2024 13:04:52,41
 08-06-2024 13:04:53,41
 08-06-2024 13:04:54,41
 08-06-2024 13:04:55,42
 08-06-2024 13:04:56,42
 08-06-2024 13:04:57,42
 08-06-2024 13:04:58,41
 08-06-2024 13:04:59,41
 08-06-2024 13:05:00,44
 08-06-2024 13:05:01,40
 08-06-2024 13:05:02,41
 08-06-2024 13:05:03,40
 08-06-2024 13:05:04,40
 08-06-2024 13:05:05,40
 08-06-2024 13:05:06,45
 08-06-2024 13:05:07,41
 08-06-2024 13:05:08,41
 08-06-2024 13:05:09,41
 08-06-2024 13:05:10,42
 08-06-2024 13:05:11,42
 08-06-2024 13:05:12,41
 08-06-2024 13:05:13,44
 08-06-2024 13:05:14,40
 08-06-2024 13:05:15,43
 08-06-2024 13:05:16,41
 08-06-2024 13:05:17,41
 08-06-2024 13:05:18,41
 08-06-2024 13:05:19,41
 08-06-2024 13:05:20,41
 08-06-2024 13:05:21,40
 08-06-2024 13:05:22,40
 08-06-2024 13:05:23,40
 08-06-2024 13:05:24,40
 08-06-2024 13:05:25,45
 08-06-2024 13:05:26,41
 08-06-2024 13:05:27,42
 08-06-2024 13:05:28,41
 08-06-2024 13:05:29,41
 08-06-2024 13:05:30,40
 08-06-2024 13:05:31,41
 08-06-2024 13:05:32,43
 08-06-2024 13:05:33,41
 08-06-2024 13:05:34,42
 08-06-2024 13:05:35,40
 08-06-2024 13:05:36,41
 08-06-2024 13:05:37,41
 08-06-2024 13:05:38,41
 08-06-2024 13:05:39,41
 08-06-2024 13:05:40,40
 08-06-2024 13:05:41,41
 08-06-2024 13:05:42,40
 08-06-2024 13:05:43,40
 08-06-2024 13:05:44,42
 08-06-2024 13:05:45,40
 08-06-2024 13:05:46,41
 08-06-2024 13:05:47,41
 08-06-2024 13:05:48,46
 08-06-2024 13:05:49,41
 08-06-2024 13:05:50,41
 08-06-2024 13:05:51,40
 08-06-2024 13:05:52,41
 08-06-2024 13:05:53,43
 08-06-2024 13:05:54,42
 08-06-2024 13:05:55,43
 08-06-2024 13:05:56,41
 08-06-2024 13:05:57,41
 08-06-2024 13:05:58,41
 08-06-2024 13:05:59,40
