Czas,Temperatura procesora
 08-06-2024 12:52:03, 43.500              
 08-06-2024 12:52:04, 43.250              
 08-06-2024 12:52:05, 43.250              
 08-06-2024 12:52:06, 43.000              
 08-06-2024 12:52:07, 43.250              
 08-06-2024 12:52:08, 43.125              
 08-06-2024 12:52:09, 43.000              
 08-06-2024 12:52:10, 44.750              
 08-06-2024 12:52:11, 45.875              
 08-06-2024 12:52:12, 46.375              
 08-06-2024 12:52:13, 46.500              
 08-06-2024 12:52:14, 47.500              
 08-06-2024 12:52:15, 47.000              
 08-06-2024 12:52:16, 46.375              
 08-06-2024 12:52:17, 45.875              
 08-06-2024 12:52:18, 45.375              
 08-06-2024 12:52:19, 45.000              
 08-06-2024 12:52:20, 44.500              
 08-06-2024 12:52:21, 44.250              
 08-06-2024 12:52:22, 44.000              
 08-06-2024 12:52:23, 43.750              
 08-06-2024 12:52:24, 43.500              
 08-06-2024 12:52:25, 43.375              
 08-06-2024 12:52:26, 43.125              
 08-06-2024 12:52:27, 43.375              
 08-06-2024 12:52:28, 43.125              
 08-06-2024 12:52:29, 42.875              
 08-06-2024 12:52:30, 42.875              
 08-06-2024 12:52:31, 42.750              
 08-06-2024 12:52:32, 42.750              
 08-06-2024 12:52:33, 42.875              
 08-06-2024 12:52:34, 42.750              
 08-06-2024 12:52:35, 42.625              
 08-06-2024 12:52:36, 42.625              
 08-06-2024 12:52:37, 42.875              
 08-06-2024 12:52:38, 42.750              
 08-06-2024 12:52:39, 42.750              
 08-06-2024 12:52:40, 42.625              
 08-06-2024 12:52:41, 42.500              
 08-06-2024 12:52:42, 42.750              
 08-06-2024 12:52:43, 42.625              
 08-06-2024 12:52:44, 42.500              
 08-06-2024 12:52:45, 42.500              
 08-06-2024 12:52:46, 45.625              
 08-06-2024 12:52:47, 47.625              
 08-06-2024 12:52:48, 47.250              
 08-06-2024 12:52:49, 46.500              
 08-06-2024 12:52:50, 45.875              
 08-06-2024 12:52:51, 45.375              
 08-06-2024 12:52:52, 45.250              
 08-06-2024 12:52:53, 44.875              
 08-06-2024 12:52:54, 47.500              
 08-06-2024 12:52:55, 49.125              
 08-06-2024 12:52:56, 50.500              
 08-06-2024 12:52:57, 49.750              
 08-06-2024 12:52:58, 49.000              
 08-06-2024 12:52:59, 52.750              
 08-06-2024 12:53:00, 52.875              
 08-06-2024 12:53:01, 53.625              
 08-06-2024 12:53:02, 53.375              
